new entry "STAND_STAR_PLATINUM_BODY"
type "Character"
using "HalfOrc_Barbarian"
data "Level" "3"
data "Strength" "18"
data "Dexterity" "14"
data "Constitution" "16"
data "Intelligence" "8"
data "Wisdom" "12"
data "Charisma" "10"
data "Armor" "13"
data "ArmorType" "None"
data "Vitality" "28"
data "Weight" "100"
data "GameSize" "Medium"
data "SoundSize" "Medium"
data "UnarmedAttackAbility" "Strength"
data "UnarmedRangedAttackAbility" "Strength"
data "ActionResources" "ActionPoint:1;BonusActionPoint:1;ReactionActionPoint:1;Movement:9"
data "Passives" "AttackOfOpportunity;DarknessRules;Darkvision"
data "Proficiency Group" ""
data "PersonalStatusImmunities" "DISARM"
data "XPReward" "c83d6caa-c5c3-4356-b55c-8d634535976c"
